#{"t_start": 1726416334.2248895, "env_id": "None"}
r,l,t
101.315402,300,6.682355
111.385101,300,11.489506
-226.385546,274,15.807565
-117.880965,300,20.259567
60.064916,188,23.641323
167.828445,300,27.734604
367.644273,300,29.378888
342.655857,300,31.045136
311.928758,300,32.940297
347.842928,300,34.838792
-428.842404,300,40.938892
-4.269168,176,44.57824
-487.862989,273,50.112162
-74.904209,300,56.067166
-213.173623,138,58.91315
20.174586,300,64.175053
-137.431393,264,66.383708
-283.387463,300,68.002536
-257.023608,300,69.722645
-213.182227,300,71.450626
-357.747413,300,73.155453
-57.165954,192,77.4165
-82.499155,300,83.3153
-125.946372,129,86.194814
69.165956,300,91.872538
-44.786476,241,96.473202
46.50477,287,101.719671
189.549045,300,104.639727
121.646401,300,106.255116
184.708167,300,107.839348
-307.0179,300,109.515662
163.309239,300,111.201711
-185.853286,136,114.184495
7.285421,154,117.637571
116.877239,300,123.484661
28.059252,186,127.315615
153.645683,300,132.759897
187.804969,300,138.135647
318.769227,300,142.451832
309.580281,300,144.222552
307.388473,300,145.942011
317.270609,300,147.613132
327.029499,300,149.331899
202.265213,300,155.318409
47.230821,193,159.283763
-96.543793,231,163.741319
67.348413,153,166.686815
93.433735,136,169.47298
-67.312588,222,173.774806
80.450916,144,176.71218
-39.950248,189,180.243139
-55.854308,300,181.777329
-51.380339,196,183.115294
-199.146472,291,184.698754
-42.580727,204,185.91304
-133.038445,215,190.281277
-76.945452,211,194.56941
-58.986779,216,199.072894
92.145092,136,202.003874
-113.466393,219,205.935184
80.964968,131,208.530595
-70.000576,212,212.431355
77.283478,127,215.010806
-255.255428,300,217.806355
-218.946286,295,219.460581
-238.530375,300,221.112587
-43.631203,208,222.500087
168.625209,243,223.922046
-48.267703,222,228.602393
-115.351484,277,234.24261
167.570643,172,237.46933
-27.460343,196,241.579224
99.091036,140,244.178229
229.735445,251,248.529369
97.215839,276,254.563419
19.179773,141,255.646903
196.543897,300,257.257933
144.403621,300,258.895421
167.838545,300,260.591812
117.928419,300,266.15153
126.73071,300,271.901625
179.984272,286,277.73426
90.714503,139,280.639484
201.131508,300,286.264329
147.049394,300,291.284623
148.134645,207,292.576659
195.031295,277,294.109889
100.258816,300,295.915191
245.319778,300,297.467656
