#{"t_start": 1726415089.6994247, "env_id": "None"}
r,l,t
-30.215151,191,18.068393
-31.358075,282,22.328882
82.85845,300,26.269833
-117.970613,300,30.411704
83.618084,300,34.973001
231.705854,300,38.546654
250.513892,300,40.020479
216.334164,300,41.439946
91.818557,300,42.880125
293.992047,300,44.382025
0.486123,282,48.822551
96.13801,200,52.03319
0.333938,300,56.127785
-28.200588,140,57.951666
211.117276,295,61.850388
-57.654866,194,64.371171
-220.070916,300,67.172797
-201.323412,259,68.260209
-247.793515,300,69.487593
-235.481482,300,70.631795
13.392594,300,71.789248
-92.943753,269,75.182436
180.014864,300,78.473663
-83.182131,141,80.178746
-172.410906,112,81.850861
-167.57921,131,83.608553
-155.876554,276,87.440068
-73.110491,198,90.143099
57.731678,243,92.528226
2.652563,143,93.27718
125.377379,151,94.071406
-138.237718,98,94.668795
66.25145,270,95.827054
0.154118,299,99.344809
85.207656,175,101.354455
-72.992245,247,104.125981
-124.614725,229,107.099826
-118.878197,163,109.023489
33.282468,157,111.007607
303.124333,300,115.484539
182.847966,300,117.244852
51.654317,165,118.209848
242.909248,270,119.664997
-131.342017,171,120.656541
6.057475,124,122.75662
-117.506381,142,125.105199
50.125473,300,129.153092
197.086912,300,133.217088
-105.408431,136,135.178242
7.670703,166,137.431793
93.942125,300,141.21104
166.272568,187,142.849763
-33.609609,126,143.582827
129.256939,245,144.565654
157.517256,300,145.736048
60.954021,300,146.87454
290.300976,269,150.445385
319.733812,300,153.451473
227.696778,213,156.209428
0.938022,149,158.107056
-108.233608,169,160.197407
255.967102,284,163.689285
109.539818,300,166.412613
366.502421,300,167.912067
297.97381,300,169.146986
225.532262,300,170.513647
237.593436,300,171.841667
136.445168,300,175.63297
-24.049943,120,177.382595
322.658174,300,181.492137
260.681505,300,185.794078
239.160028,300,191.203157
237.498598,300,196.305316
221.410922,300,198.363608
274.03682,300,200.174379
287.705326,300,202.220683
272.608412,298,204.160863
274.258314,241,208.134161
233.199576,300,212.055345
201.595054,300,215.40099
-36.031997,300,218.609858
261.774613,300,222.547302
119.533665,203,224.90858
264.848905,287,226.237559
227.241857,300,227.680415
144.297251,300,229.207663
198.63519,282,230.660383
