#{"t_start": 1725123428.4926746, "env_id": "None"}
r,l,t,num_wraps,c
-173.253426,200,3.823451,0.0,200
-184.215538,200,8.533636,0.0,200
-203.617854,200,14.416915,0.0,200
-141.453098,200,20.315899,0.0,200
-178.749939,200,26.583637,0.0,200
-145.207295,200,32.051292,0.0,200
-5.493015,200,39.185836,0.0,200
4.072964,200,45.35992,0.0,200
0.391373,200,55.78874,0.0,200
-392.5358,200,61.608323,0.0,200
-266.849747,200,69.139497,0.0,200
-354.407113,200,76.007638,0.0,200
-248.955511,200,85.465765,0.0,200
-270.574557,200,91.284473,0.0,200
-319.685819,200,97.451675,0.0,200
-134.840332,200,103.159743,0.0,200
-99.530789,200,110.223001,0.0,200
-138.135909,200,132.25594,0.0,200
-338.889177,200,141.891657,0.0,200
-192.892196,200,148.519402,0.0,200
-276.85992,200,155.909412,0.0,200
-321.088895,200,163.235762,0.0,200
-136.983504,200,178.620684,0.0,200
0.073874,200,192.470214,0.0,200
-49.612992,200,201.40877,0.0,200
231.689597,200,208.356031,0.0,200
